_data.DataEntityId;_data.CounterDelay;
_data.DataEntityId;_data.CounterDelay;
4162;4167;
4205;4205;
4247;4247;
4289;4289;
4331;4331;
4373;4373;
4415;4415;
4456;4458;
4498;4498;
4540;4540;
4581;4581;
4621;4621;
5469;5470;
5511;5511;
5553;5553;
5595;5595;
5637;5637;
5678;5679;
5720;5720;
5762;5762;
5803;5803;
5843;5844;
5886;5886;
5928;5928;
5969;5970;
6011;6011;
6052;6052;
6094;6094;
6135;6135;
6176;6176;
6217;6217;
6258;6258;
6298;6298;
6339;6339;
6379;6380;
6420;6420;
6461;6461;
6501;6503;
6543;6544;
6583;6583;
